@relation fwdstudy_arxiv

@attribute url string
@attribute interval numeric
@attribute htype string
@attribute laststatus {200,302,503,404,500,406,403,301,401,400,502,501,408,410,504,405,203,490,429}
@attribute vsim numeric
@attribute sim numeric

@data
http://archive.ics.uci.edu/ml,9,text/html,200,88.513684,63
http://arohatgi.info/WebPlotDigitizer/,9,text/html,200,40.477238,0
http://audacity.sourceforge.net/,9,text/html,200,59.384415,49
http://audacity.sourceforge.net/,9,text/html,200,59.384415,49
http://cancergenome.nih.gov,9,text/html,200,70.007304,46
http://correlatesofwar.org,9,text/html,200,98.584605,100
http://CRAN.R-project.org/package=survival,9,text/html,200,76.288796,0
http://CRAN.R-project.org/package=survival,9,text/html,200,76.251851,0
http://CRAN.R-project.org/package=survival,9,text/html,200,76.10193,0
http://cran.r-project.org/web/packages/gamlss/index.html,9,text/html,200,84.945341,61
http://cran.r-project.org/web/packages/randomForest,9,text/html,200,78.456937,52
http://datadryad.org,9,text/html,200,57.335109,?
http://datadryad.org,9,text/html,200,78.940925,44
http://datadryad.org,9,text/html,200,78.940925,46
http://flybase.org,9,text/html,200,92.321745,0
http://fsl.fmrib.ox.ac.uk/fsl/fslwiki/,9,text/html,200,94.125148,79
http://fsl.fmrib.ox.ac.uk/fsl/fslwiki/,9,text/html,200,94.744401,86
http://fsl.fmrib.ox.ac.uk/fsl/fslwiki/,9,text/html,200,94.744401,86
http://genome.ucsc.edu,9,text/html,200,65.770034,32
http://genome.ucsc.edu,9,text/html,200,61.280698,0
http://genome.ucsc.edu,9,text/html,200,62.770386,0
http://genome.ucsc.edu,9,text/html,200,65.270977,0
http://hci.iwr.uni-heidelberg.de/opengm2/,9,text/html,200,94.407327,63
http://neuro.compute.dtu.dk/wiki/Electroencephalography#Data,9,text/html,200,91.435775,72
http://pfam.sanger.ac.uk,9,text/html,200,88.191851,80
http://picard.sourceforge.net,9,text/html,200,17.576854,?
http://picard.sourceforge.net,9,text/html,200,17.56308,?
http://www.affymetrix.com,9,text/html,200,91.473861,58
http://www.affymetrix.com,9,text/html,200,91.742151,61
http://www.aviso.oceanobs.com,9,text/html,200,66.972918,49
http://www.bioconductor.org,9,text/html,200,57.116564,0
http://www.bioconductor.org,9,text/html,200,59.527193,0
http://www.bioconductor.org,9,text/html,200,57.110779,0
http://www.bioconductor.org,9,text/html,200,58.051338,0
http://www.bioconductor.org,9,text/html,200,57.116564,0
http://www.bioconductor.org,9,text/html,200,57.524526,0
http://www.bioconductor.org,9,text/html,200,56.276967,0
http://www.comsol.com,9,text/html,200,69.521331,55
http://www.csie.ntu.edu.tw/~cjlin/libsvm,9,text/html,200,93.939758,90
http://www.ebi.ac.uk/arrayexpress,9,text/html,200,74.636708,82
http://www.ebi.ac.uk/arrayexpress,9,text/html,200,69.964009,74
http://www.ebi.ac.uk/arrayexpress,9,text/html,200,69.964009,74
http://www.ebi.ac.uk/arrayexpress,9,text/html,200,69.964009,74
http://www.ebi.ac.uk/arrayexpress,9,text/html,200,69.964009,74
http://www.ebi.ac.uk/arrayexpress,9,text/html,200,69.964009,74
http://www.ebi.ac.uk/arrayexpress,9,text/html,200,69.964009,74
http://www.ebi.ac.uk/arrayexpress,9,text/html,200,69.964009,74
http://www.ebi.ac.uk/arrayexpress,9,text/html,200,69.964009,74
http://www.ebi.ac.uk/Tools/msa/clustalw2,9,text/html,404,94.506511,74
http://www.ebi.ac.uk/Tools/msa/clustalw2,9,text/html,200,90.718802,94
http://www.facebook.com,9,text/html,200,62.668596,93
http://www.facebook.com,9,text/html,200,62.113761,93
http://www.fil.ion.ucl.ac.uk/spm/,9,text/html,200,97.258375,79
http://www.fil.ion.ucl.ac.uk/spm/,9,text/html,200,97.258375,79
http://www.fil.ion.ucl.ac.uk/spm/,9,text/html,200,97.258375,79
http://www.fitbit.com/,9,text/html,200,65.652276,49
http://www.fmrib.ox.ac.uk/fsl,9,text/html,200,94.125148,79
http://www.fmrib.ox.ac.uk/fsl,9,text/html,200,94.744401,86
http://www.fmrib.ox.ac.uk/fsl/,9,text/html,200,94.125148,79
http://www.fmrib.ox.ac.uk/fsl/,9,text/html,200,94.125148,79
http://www.fmrib.ox.ac.uk/fsl/,9,text/html,200,94.744401,86
http://www.geneontology.org,9,text/html,200,26.641829,0
